KanbanID,Part No.,Part ID,Create_date
3745289,XX1700B500,500,29/09/2021 9:52
3745290,XX1700B500,500,29/09/2021 9:52
3745291,XX1700B500,500,29/09/2021 9:52
3745292,XX1700B500,500,29/09/2021 9:52
3745293,XX1700B500,500,29/09/2021 9:52
3745294,XX1700B500,500,29/09/2021 9:52
3745295,XX1700B500,500,29/09/2021 9:52
3745296,XX1700B500,500,29/09/2021 9:52
3745297,XX1700B500,500,29/09/2021 9:52
3745298,XX1700B500,500,29/09/2021 9:52
3745299,XX1700B500,500,29/09/2021 9:52
3745300,XX1700B500,500,29/09/2021 9:52
3745301,XX1700B500,500,29/09/2021 9:52
3745302,XX1700B500,500,29/09/2021 9:52
3745303,XX1700B500,500,29/09/2021 9:52
3745304,XX1700B500,500,29/09/2021 9:52
3745305,XX1700B500,500,29/09/2021 9:52
3745306,XX1700B500,500,29/09/2021 9:52
3745307,XX1700B500,500,29/09/2021 9:52
3745308,XX1700B500,500,29/09/2021 9:52
3745309,XX1700B500,500,29/09/2021 9:52
3745310,XX1700B500,500,29/09/2021 9:52
3745311,XX1700B500,500,29/09/2021 9:52
3745312,XX1700B500,500,29/09/2021 9:52
3745313,XX1700B500,500,29/09/2021 9:52
3745314,XX1700B500,500,29/09/2021 9:52
3745315,XX1700B500,500,29/09/2021 9:52
3745316,XX1700B500,500,29/09/2021 9:52
3745317,XX1700B500,500,29/09/2021 9:52
3745318,XX1700B500,500,29/09/2021 9:52
3745319,XX1700B500,500,29/09/2021 9:52
3745320,XX1700B500,500,29/09/2021 9:52
3745321,XX1700B500,500,29/09/2021 9:52
3745322,XX1700B500,500,29/09/2021 9:52
3745323,XX1700B500,500,29/09/2021 9:52
3745324,XX1700B500,500,29/09/2021 9:52
3745325,XX1700B500,500,29/09/2021 9:52
3745326,XX1700B500,500,29/09/2021 9:52
3745327,XX1700B500,500,29/09/2021 9:52
3745328,XX1700B500,500,29/09/2021 9:52
3745329,XX1700B500,500,29/09/2021 9:52
3745330,XX1700B500,500,29/09/2021 9:52
3745331,XX1700B500,500,29/09/2021 9:52
3745332,XX1700B500,500,29/09/2021 9:52
3745333,XX1700B500,500,29/09/2021 9:52
3745334,XX1700B500,500,29/09/2021 9:52
3745335,XX1700B500,500,29/09/2021 9:52
3745336,XX1700B500,500,29/09/2021 9:52
3745337,XX1700B500,500,29/09/2021 9:52
3745338,XX1700B500,500,29/09/2021 9:52
3745339,XX1700B500,500,29/09/2021 9:52
3745340,XX1700B500,500,29/09/2021 9:52
3745341,XX1700B500,500,29/09/2021 9:52
3745342,XX1700B494,494,29/09/2021 9:52
3745343,XX1700B494,494,29/09/2021 9:52
3745344,XX1700B494,494,29/09/2021 9:52
3745345,XX1700B494,494,29/09/2021 9:52
3745346,XX1700B494,494,29/09/2021 9:52
3745347,XX1700B494,494,29/09/2021 9:52
3745348,XX1700B494,494,29/09/2021 9:52
3745349,XX1700B494,494,29/09/2021 9:52
3745350,XX1700B494,494,29/09/2021 9:52
3745351,XX1700B494,494,29/09/2021 9:52
3745352,XX1700B494,494,29/09/2021 9:52
3745353,XX1700B494,494,29/09/2021 9:52
3745354,XX1700B494,494,29/09/2021 9:52
3745355,XX1700B494,494,29/09/2021 9:52
3745356,XX1700B494,494,29/09/2021 9:52
3745357,XX1700B494,494,29/09/2021 9:52
3745358,XX1700B494,494,29/09/2021 9:52
3745359,XX1700B494,494,29/09/2021 9:52
3745360,XX1700B494,494,29/09/2021 9:52
3745361,XX1700B494,494,29/09/2021 9:52
3745362,XX1700B494,494,29/09/2021 9:52
3745363,XX1700B488,488,29/09/2021 9:52
3745364,XX1700B488,488,29/09/2021 9:52
3745365,XX1700B488,488,29/09/2021 9:52
3745366,XX1700B488,488,29/09/2021 9:52
3745367,XX1700B488,488,29/09/2021 9:52
3745368,XX1700B488,488,29/09/2021 9:52
3745369,XX1700B488,488,29/09/2021 9:52
3745370,XX1700B488,488,29/09/2021 9:52
3745371,XX1700B488,488,29/09/2021 9:52
3745372,XX1700B488,488,29/09/2021 9:52
3745373,XX1700B488,488,29/09/2021 9:52
3745374,XX1700B488,488,29/09/2021 9:52
3745375,XX1700B496,496,29/09/2021 9:52
3745376,XX1700B496,496,29/09/2021 9:52
3745377,XX1700B496,496,29/09/2021 9:52
3745378,XX1700B496,496,29/09/2021 9:52
3745379,XX1700B496,496,29/09/2021 9:52
3745380,XX1700B496,496,29/09/2021 9:52
3745381,XX1700B496,496,29/09/2021 9:52
3745382,XX1700B496,496,29/09/2021 9:52
3745383,XX1700B496,496,29/09/2021 9:52
3745384,XX1700B496,496,29/09/2021 9:52
3745385,XX1700B496,496,29/09/2021 9:52
3745386,XX1700B496,496,29/09/2021 9:52
